gene,cell_type,value
TAGLN,STs,0.021
ACTA2,STs,0.02875
ADIRF,STs,0.027
HMGA1,STs,0.013250000000000001
TUBA1B,STs,0.45599999999999996
CCNI,STs,0.48650000000000004
CCDC110,STs,0.020749999999999998
GOLGA6L2,STs,0.006750000000000001
LINC00643,STs,0.01125
PTGDS,STs,0.30474999999999997
PEMT,STs,0.14175
LAMA2,STs,0.1655
PRM1,STs,0.14250000000000002
TNP1,STs,0.0565
PRM2,STs,0.11699999999999999
HSPB6,STs,0.005
CFD,STs,0.00875
IGFBP6,STs,0.01
AL133499.1,STs,0.02375
 CCDC110,STs,0.020749999999999998
AC010980.1,STs,0.02675
GNG11,STs,0.019999999999999997
SPARCL1,STs,0.0755
A2M,STs,0.13425
LINC01921,STs,0.048
 PRM2,STs,0.11699999999999999
 PRM1,STs,0.14250000000000002
 LINC01921,STs,0.048
  PRM1,STs,0.14250000000000002
 TNP1,STs,0.0565
LRWD1,STs,0.01925
SPACA1,STs,0.019250000000000003
BOD1L2,STs,0.0425
TP53TG5,STs,0.00825
C1orf100,STs,0.0165
CCDC168,STs,0.01
TEX101,STs,0.02275
SYCP1,STs,0.017249999999999998
LY6K,STs,0.017499999999999998
CETN3,STs,0.101
C15orf48,STs,0.0325
RNFT1,STs,0.041249999999999995
