Cell,Group,Disease,Stage,PlotStage,Pseudotime2,MixEntropy,Batch,OXPHOS,Apoptosis
Normal_1_3_11_6_bar86,Normal,Control,S1,Round Sperm,8.29050279329609,0.5076575881791653,Normal_1,2.8236274002342236,0.2205620196106658
Normal_1_3_11_8_bar88,Normal,Control,D,Late SPC,6.429767441860466,0.27071808593082797,Normal_1,2.9645425054650447,0.10144811110579345
Normal_1_3_12_1_bar89,Normal,Control,D,Late SPC,6.450232558139536,0.3258655606291759,Normal_1,3.13537976879077,0.2697454006507182
Normal_1_3_12_3_bar91,Normal,Control,SPC7,Late SPC,7.36068376068376,0.4454685520745207,Normal_1,2.9851809457631076,0.41249631445568175
Normal_1_3_12_4_bar92,Normal,Control,S2,Elongated Sperm,9.47814569536424,0.45583145843793804,Normal_1,2.549697012319477,0.3211250166741389
Normal_1_3_12_5_bar93,Normal,Control,S1,Round Sperm,8.243575418994414,0.5076575881791653,Normal_1,2.8557771830969125,0.08973623591479778
Normal_1_3_12_6_bar94,Normal,Control,D,Late SPC,6.66046511627907,0.29892393694265923,Normal_1,2.911137644681779,0.2757256591369649
Normal_1_3_12_7_bar95,Normal,Control,S1,Round Sperm,8.335195530726256,0.545883901502697,Normal_1,2.8112878485107973,0.2396715233495089
Normal_1_3_12_8_bar96,Normal,Control,SPC7,Late SPC,7.2444444444444445,0.05745902028655034,Normal_1,2.7433779808276517,0.17406751835312245
Normal_1_3_2_1_bar9,Normal,Control,S2,Elongated Sperm,9.409271523178809,0.46689278340051177,Normal_1,2.4777490800529565,0.168291529799488
Normal_1_3_2_2_bar10,Normal,Control,D,Late SPC,6.76093023255814,0.05745902028655034,Normal_1,3.084573165722855,0.48265645198443674
Normal_1_3_2_3_bar11,Normal,Control,SPC7,Late SPC,7.418803418803419,0.4454685520745207,Normal_1,2.89178398051901,0.6886233043420595
Normal_1_3_2_6_bar14,Normal,Control,SPC7,Late SPC,7.541880341880343,0.42329155143330927,Normal_1,2.998599939429022,0.43426177666292937
Normal_1_3_2_7_bar15,Normal,Control,S2,Elongated Sperm,9.36158940397351,0.5641201360165431,Normal_1,2.6006357280521466,0.3953617061753572
Normal_1_3_3_1_bar17,Normal,Control,S1,Round Sperm,8.169832402234636,-1.4428232973175175e-12,Normal_1,2.8643130472272054,0.110381775096706
Normal_1_3_3_2_bar18,Normal,Control,S1,Round Sperm,8.32849162011173,0.545883901502697,Normal_1,2.9889084719982515,0.3112531047574492
Normal_1_3_3_5_bar21,Normal,Control,S2,Elongated Sperm,9.59205298013245,0.3939152573605267,Normal_1,2.2267841274344047,0.12045158497649666
Normal_1_3_4_1_bar25,Normal,Control,D,Late SPC,6.792558139534885,0.05745902028655034,Normal_1,3.0784387327128906,0.43768993487570335
Normal_1_3_4_2_bar26,Normal,Control,Diff.ing SPG,SPG (Stem),3.03859649122807,0.7057464344124471,Normal_1,3.0796761724287176,0.5714178442406683
Normal_1_3_4_3_bar27,Normal,Control,S2,Elongated Sperm,9.313907284768211,0.7192711659547665,Normal_1,2.685829728343368,0.2573641707016682
Normal_1_3_4_4_bar28,Normal,Control,D,Late SPC,6.4,0.20976880507769463,Normal_1,3.0727307524649454,0.29029501796054424
Normal_1_3_4_5_bar29,Normal,Control,D,Late SPC,6.69953488372093,0.24107630848449527,Normal_1,3.0829705344351717,0.19424762797965522
Normal_1_3_4_7_bar31,Normal,Control,S1,Round Sperm,8.27486033519553,0.5076575881791653,Normal_1,2.637053788523225,0.22509470543205998
Normal_1_3_5_1_bar33,Normal,Control,D,Late SPC,6.472558139534884,0.3516761192089252,Normal_1,2.959622814343869,0.24309586015522802
Normal_1_3_5_2_bar34,Normal,Control,D,Late SPC,6.586046511627908,0.29892393694265923,Normal_1,3.041932852498721,0.4020395704579678
Normal_1_3_5_3_bar35,Normal,Control,S2,Elongated Sperm,9.38543046357616,0.4454685520745207,Normal_1,2.703451797438612,0.5598492662340323
Normal_1_3_5_4_bar36,Normal,Control,S1,Round Sperm,8.241340782122904,0.5076575881791653,Normal_1,2.7069416013748917,0.24680649218642334
Normal_1_3_5_5_bar37,Normal,Control,S1,Round Sperm,8.05586592178771,0.42329155143330927,Normal_1,2.74479052994756,0.0
Normal_1_3_5_8_bar40,Normal,Control,D,Late SPC,6.561860465116279,0.3764618904658653,Normal_1,2.9875542884245583,0.10664112835682966
Normal_1_3_6_1_bar41,Normal,Control,S1,Round Sperm,8.017877094972066,0.42329155143330927,Normal_1,2.669966403541982,0.4624125966412854
Normal_1_3_6_3_bar43,Normal,Control,D,Late SPC,6.718139534883721,0.20976880507769463,Normal_1,3.0607547318776405,0.06424601838582822
Normal_1_3_6_4_bar44,Normal,Control,D,Late SPC,6.466976744186047,0.3516761192089252,Normal_1,2.9165322253624932,0.0
Normal_1_3_6_5_bar45,Normal,Control,S2,Elongated Sperm,9.343046357615894,0.6774623217964573,Normal_1,2.636817587627564,0.19951303909235835
Normal_1_3_6_6_bar46,Normal,Control,D,Late SPC,6.422325581395349,0.24107630848449527,Normal_1,3.045299871106788,0.27570545144018144
Normal_1_3_6_7_bar47,Normal,Control,D,Late SPC,6.705116279069767,0.24107630848449527,Normal_1,2.9830600156969327,0.12263158666364034
Normal_1_3_6_8_bar48,Normal,Control,S1,Round Sperm,8.315083798882682,0.545883901502697,Normal_1,2.637016403017265,0.06785556245941822
Normal_1_3_7_1_bar49,Normal,Control,S2,Elongated Sperm,9.218543046357615,0.6474532485582359,Normal_1,2.7367470075702975,0.4219544442391545
Normal_1_3_7_2_bar50,Normal,Control,D,Late SPC,6.552558139534884,0.3764618904658653,Normal_1,2.99525996531022,0.9058365631547578
Normal_1_3_7_4_bar52,Normal,Control,S2,Elongated Sperm,9.29271523178808,0.7192711659547665,Normal_1,2.617878537275992,0.15319931365215045
Normal_1_3_7_5_bar53,Normal,Control,S3,Elongated Sperm,9.773913043478261,0.31208956593145987,Normal_1,2.446738429898746,0.2781216985678659
