Gene id,CTRL,AZFC,iNOA-S,iNOA-B,OA,KS
SLC25A31,0.063922525,0.03356913,0,0,0.118161147,0.098877417
AC025524.2,0.052210193,0.024226215,0,0,0.133115311,0.068958797
REC114,0.045523513,0.026750588,0,0,0.127440676,0.134216619
TEX33,0.053883238,0.024460049,0,0,0.127881058,0.224684631
AC024958.1,0.057461179,0.031355589,0,0,0.166133691,0.107166825
CCDC70,0.051665384,0.018337905,0,0,0.170657178,0.194383131
FPR3,0.215460812,0.035903045,0.038692523,0.019434448,0.166101449,0.010400612
TUBA3D,0.09331477,0.088260737,0.009643754,0.050754207,0.283295833,0.338390719
MFSD2A,1.763577286,1.525981247,1.171174389,1.771886657,2.126854659,2.14381549
GJA3,0.106024937,0.017805887,0.006242637,0.037893206,0.031502897,0.002716409
SELENOS,2.015965739,1.628295587,1.562556944,2.16859062,1.858586174,1.934814372
APOA1,3.892438418,3.657447147,3.514776444,3.667799615,4.357143117,5.100537898
CCDC47,1.557173203,1.35008377,1.125841032,1.522261266,1.342146766,1.180645748
MTND4P12,0.70897121,0.425512432,0.272737093,0.439026841,0.346304892,0.120999438
C6orf99,0.148051073,0.058868509,0.019904568,0.023325597,0.26520312,0.325700803
C3orf22,0.054068174,0.015022966,0,0,0.09799147,0.072489868
AL365184.2,0.054024161,0.018309978,0,0,0.18028176,0.107355971
VWA3B,0.047352475,0.019542779,0,0.007215203,0.093654253,0.180250959
TBC1D21,0.042974638,0.013630618,0,0,0.124882812,0.086541834
ASB17,0.043240536,0.035288022,0,0,0.214661025,0.177062841
ARMC3,0.046137297,0.016617614,0,0.010603772,0.106135886,0.05711814
CFAP65,0.075854817,0.01561531,0,0,0.065374396,0.069032318
C5orf52,0.057328185,0.009622959,0,0,0.111687388,0.098931528
AC024619.1,0.052836794,0.015487986,0,0,0.081622652,0.034856403
AL121974.1,0.063758636,0.016660289,0,0.010089678,0.08157328,0.058689116
GPR85,0.050348136,0.0167719,0,0,0.074369804,0.064150692
DAB1-AS1,0.043046303,0.028774281,0,0,0.17340033,0.119975701
C12orf50,0.126717938,0.060025051,0.016674288,0.013201027,0.155240496,0.184923603
LGMN,0.861135226,0.559390969,0.411788967,0.45424472,0.644911998,0.677836956
CEP170P1,0.144911435,0.021085647,0.020348583,0.011880443,0.116397498,0.092001628
PWRN2,0.075365425,0.018731565,0.001586967,0,0.060608463,0.052262852
TP53TG5,0.068155825,0.010460184,0.000339797,0,0.119665739,0.057295274
DCAF4L1,0.079379478,0.031296351,0.002071055,0.009603949,0.05598495,0.086434922
MT-ND3,6.441889248,6.514370434,6.040120207,6.774231258,6.804185897,6.997187521
VKORC1,1.20806516,0.945462182,0.76371914,0.654577369,1.106071692,1.095548427
APMAP,1.245049192,1.244948948,0.785609716,1.028471706,1.442258287,1.397021957
DAAM1,1.412194205,0.940085351,0.95434871,1.169996966,0.962659915,0.893656053
AL158801.2,0.103725271,0.008513878,0.009863205,0.016930586,0.029963079,0.015779799
QSOX1,1.886009343,1.930810458,1.408186712,1.486666719,2.19411082,2.307513305
POPDC3,0.100643994,0.041335332,0.01411095,0.042049578,0.092591343,0.04843445
FAM221B,0.040225442,0.017382549,0,0,0.065096274,0.08423365
RF00012-4,0.040451566,0,0,0,0,0
TMEM89,0.052219691,0.013094707,0,0,0.120253175,0.1212696
SUN5,0.05249433,0.02731973,0,0,0.084769577,0.101666932
AL035078.1,0.047529831,0.014449549,0,0,0.05103127,0.023900694
PRM3,0.050904591,0.024292047,0,0,0.105180144,0.106281551
AC004817.2,0.037225963,0.032482689,0,0,0.227865424,0.163731784
DNAJB8,0.05450829,0.020792874,0,0,0.061017994,0.09432301
CTAG2,0.071704504,0.007675751,0,0.010082103,0,0.014926376
ARMC12,0.07245593,0.033024811,0.002888655,0,0.126261824,0.155727305
TMEM225B,0.124287865,0.069747231,0.02002915,0.004517811,0.263613726,0.212701154
KCNJ13,0.103815301,0.015708553,0.007438122,0.055639995,0.011799147,0.026444919
FAM209A,0.058446516,0.029883601,0.000701911,0,0.164425653,0.213710264
MT-ND5,6.667282206,6.384570482,6.24849348,6.9977705,6.517099947,5.874505736
AQP5,0.078501879,0.049013272,0.00506087,0,0.185077865,0.357570526
ELAVL2,0.097735685,0.030721226,0.006268862,0.021002228,0.078275223,0.104596743
AKAP9,2.278697304,2.043422339,1.894227606,2.429211225,2.1580217,1.882027203
NRIP3,0.090286458,0.043794839,0.003253706,0.010781294,0.156748623,0.119775542
ZNF385D,0.072807677,0.023919155,0.002709528,0.032606308,0.075805261,0.101759297
