ONTOLOGY,ID,Description,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,GeneRatio,neg_log10_pvalue
BP,GO:0034086,maintenance of sister chromatid cohesion,12/18723,2.2358722769e-05,0.0017137029389019,0.0014091879218907,SLF2/NIPBL/ATRX/SMC5,4,4/281,4.650553008934918
BP,GO:0034088,maintenance of mitotic sister chromatid cohesion,12/18723,2.2358722769e-05,0.0017137029389019,0.0014091879218907,SLF2/NIPBL/ATRX/SMC5,4,4/281,4.650553008934918
BP,GO:0001952,regulation of cell-matrix adhesion,128/18723,2.36291330708e-05,0.001774113889139,0.0014588641986196,ACTG1/SLK/DDR1/RAC1/MACF1/S100A10/MAP4K4/RRAS/PIK3R1/IQGAP1,10,10/281,4.626552211904424
BP,GO:0071294,cellular response to zinc ion,24/18723,2.47199893619e-05,0.0018188968172494,0.0014956894616028,MT2A/MT1E/PARP1/TSPO/MT1X,5,5/281,4.606951720479222
BP,GO:0032200,telomere organization,159/18723,2.90401634266e-05,0.002094877671506,0.0017226301277259,SMC6/HSP90AA1/HSP90AB1/DHX36/ATRX/SMC5/PPP1R10/XRCC5/RIF1/PARP1/PRKDC,11,11/281,4.537000943926804
BP,GO:0030038,contractile actin filament bundle assembly,106/18723,3.13216146622e-05,0.0021648296388822,0.0017801520384966,ACTG1/PAK2/RAC1/CDC42/S100A10/PFN1/RHOC/PIK3R1/CGNL1,9,9/281,4.504155857699391
BP,GO:0043149,stress fiber assembly,106/18723,3.13216146622e-05,0.0021648296388822,0.0017801520384966,ACTG1/PAK2/RAC1/CDC42/S100A10/PFN1/RHOC/PIK3R1/CGNL1,9,9/281,4.504155857699391
BP,GO:2001252,positive regulation of chromosome organization,82/18723,3.17751564282e-05,0.0021648296388822,0.0017801520384966,RAD21/SLF2/DHX36/ATRX/SMC5/PPP1R10/XRCC5/MPHOSPH8,8,8/281,4.497912302749191
BP,GO:0006275,regulation of DNA replication,107/18723,3.37551082027e-05,0.0022579098741464,0.001856692458848,ZBTB38/NUCKS1/TSPYL2/S100A11/RAC1/CDC42/ATRX/PPP2R1A/SMC3,9,9/281,4.471660495532953
BP,GO:0034504,protein localization to nucleus,290/18723,3.48065967244e-05,0.0022866690955204,0.001880341334323,GBP2/SOX9/APPL2/HSP90AB1/LMNA/STAT3/TXNIP/PTTG1IP/RANBP2/PPP1R10/TAF3/PIK3R1/PARP1/SYNE1/OSBPL8,15,15/281,4.458338438539018
