gene,ctrl,disease,log2fc
MZF1,0.0714014535338267,0.0805793221019809,0.17445392330371515
MZF1-AS1,0.0991867027804031,0.1106754489569022,0.15811508854835452
MZT1,0.4683750503476875,0.5533038498924965,0.24040726166977652
MZT1P2,0.0,0.0,0.0
MZT2A,0.2585998073461189,0.4022240063492963,0.6372759976383713
MZT2B,0.8977934027375841,1.2334783964686895,0.458276610685099
N4BP1,0.1317017659443088,0.1853373509330382,0.49287579578117113
N4BP2,0.3356711132043821,0.2171064179281006,-0.6286436670527705
N4BP2L1,0.0222374246498893,0.0211599926407853,-0.07164728804878738
N4BP2L2,1.3437395464631978,1.2017388719017643,-0.16112996034060412
N4BP2L2-IT2,0.0102170391328349,0.0108322969176172,0.08435400179904794
N4BP3,0.0,0.0005860092345823,9.197239389159959
N6AMT1,0.0189482206720049,0.0340022974003881,0.8435361399159214
NAA10,0.0481027514113812,0.1041463075000461,1.11440422887069
NAA11,0.2018963107765079,0.1967795074917765,-0.03703437589279307
NAA15,1.0319952090247029,0.9447019675212364,-0.12750497597956867
NAA16,0.6261014251232528,0.670532267570217,0.09891022188773424
NAA20,2.1720756544749107,2.397999409299107,0.14275688699252204
NAA25,0.4501561139055036,0.3994653573136429,-0.17235461314978529
NAA30,0.3410920010430336,0.3767881070624064,0.14359210507506479
NAA35,1.204423316346297,1.1301570225272393,-0.091819231049934
NAA38,1.2436708149172335,1.474244183304672,0.24537064898922864
NAA40,0.5800284157046884,0.6147210102550507,0.08380807484140601
NAA50,0.6802007410078312,0.6991704448280369,0.03968356559664529
