names	scores	logfoldchanges	pvals	pvals_adj	pct_nz_group	pct_nz_reference	mean
TP53INP2	-1.0260159969329834	-0.14810994267463684	0.30488404028314076	1.0	0.029184549356223177	0.07692307692307693	0.12133891036255243
CRYBB2P1	-1.0261770486831665	-0.3211086392402649	0.30480812233664223	1.0	0.029899856938483547	0.07692307692307693	0.13895338208674327
RPP38	-1.0274218320846558	-0.32005396485328674	0.3042218606360292	1.0	0.08125894134477825	0.15384615384615385	0.37125065913841043
ENTPD3-AS1	-1.0277466773986816	-0.2699393928050995	0.30406897738083405	1.0	0.029470672389127324	0.07692307692307693	0.1591080318985553
HOXD-AS2	-1.0302479267120361	-0.18422475457191467	0.30289361756984856	1.0	0.029184549356223177	0.07692307692307693	0.14527924314916674
UQCRHL	-1.0305207967758179	0.003595493035390973	0.3027655845080417	1.0	0.027753934191702433	0.07692307692307693	0.09889211147873196
UFSP2	-1.031118631362915	-0.18974937498569489	0.3024851826990048	1.0	0.26180257510729615	0.38461538461538464	1.0323094009548486
GABPB2	-1.0314404964447021	-0.4009547829627991	0.30233429132271117	1.0	0.0821173104434907	0.15384615384615385	0.35602150707921365
VPS16	-1.03255295753479	-0.13497938215732574	0.3018131657372727	1.0	0.02861230329041488	0.07692307692307693	0.11370357882511203
RBBP5	-1.0327388048171997	-0.09612752497196198	0.30172613868007925	1.0	0.07310443490701002	0.15384615384615385	0.30952946071193904
SENP5	-1.0328880548477173	-0.7229995131492615	0.3016562771623613	1.0	0.08054363376251789	0.15384615384615385	0.3568990175818138
NFRKB	-1.0332541465759277	-0.3732345700263977	0.30148500098556086	1.0	0.08283261802575108	0.15384615384615385	0.3485240045438292
CRTAP	-1.0332890748977661	-0.3308124244213104	0.30146863786084854	1.0	0.5987124463519313	0.6153846153846154	2.0175759840388503
TMEM250	-1.0348550081253052	-0.20196358859539032	0.30073660364067156	1.0	0.029327610872675252	0.07692307692307693	0.12754041601268598
FHL5	-1.0353960990905762	-0.2915964722633362	0.3004839916609824	1.0	0.369241773962804	0.46153846153846156	1.4104504821235226
SMCO4	-1.0355138778686523	0.028928468003869057	0.30042900114107185	1.0	0.027610872675250357	0.07692307692307693	0.12422508717112528
ABHD3	-1.0357933044433594	-0.21145011484622955	0.30029859311708185	1.0	0.029327610872675252	0.07692307692307693	0.11805388801124987
NOL9	-1.035922884941101	-0.31568771600723267	0.3002381021203697	1.0	0.078826895565093	0.15384615384615385	0.32929721103092585
HAUS2	-1.0368270874023438	-0.21310584247112274	0.2998164528500541	1.0	0.07768240343347639	0.15384615384615385	0.3496267476501086
NUP188	-1.0378715991973877	-0.3439602553844452	0.2993298511188114	1.0	0.029756795422031475	0.07692307692307693	0.12155176064609337
NADK2	-1.038239598274231	-0.6221916675567627	0.2991585256345479	1.0	0.0844062947067239	0.15384615384615385	0.35675221188665074
TBC1D8B	-1.039747953414917	-0.2437177300453186	0.2984570100936794	1.0	0.0759656652360515	0.15384615384615385	0.35786218816924514
AC131235.1	-1.0401196479797363	-0.35351189970970154	0.29828429018642755	1.0	0.029899856938483547	0.07692307692307693	0.10655012097695411
SPIN4	-1.0404844284057617	-0.21318499743938446	0.2981149202746437	1.0	0.029327610872675252	0.07692307692307693	0.1229350088671509
THOC6	-1.0419918298721313	0.006581985857337713	0.2974154648068028	1.0	0.027467811158798282	0.07692307692307693	0.10187860428313986
AC010273.2	-1.0425935983657837	-0.20356717705726624	0.29713656109677555	1.0	0.0290414878397711	0.07692307692307693	0.14321048453929353
BNIP2	-1.0435807704925537	-0.24579311907291412	0.2966793718998566	1.0	0.34663805436337625	0.46153846153846156	1.2695258763369663
ZNHIT1	-1.0441173315048218	-0.06503410637378693	0.29643111731781313	1.0	0.3032904148783977	0.46153846153846156	1.2201863924864964
AC118549.1	-1.0446137189865112	-0.4763006865978241	0.296201520677306	1.0	0.1463519313304721	0.23076923076923078	0.6041383416638098
