gene,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expression,neg_log10_pvals,neg_log10_pvals_adj
RPP25,1.0800076723098757,0.3337188363075256,0.2801387552294165,1.0,0.0825464949928469,0.0,0.3337188410572337,0.5526268054285244,-0.0
MAD2L2,1.0800076723098757,0.3579966723918915,0.2801387552663689,1.0,0.0825464949928469,0.0,0.3579966718334513,0.5526268053712378,-0.0
PCTP,1.0800076723098757,0.3356116116046905,0.280138755284845,1.0,0.0825464949928469,0.0,0.335611612182138,0.5526268053425946,-0.0
WDR74,1.0800076723098757,0.3576330840587616,0.280138755469607,1.0,0.0825464949928469,0.0,0.3576330902191217,0.5526268050561611,-0.0
MXRA7,1.0792256593704224,0.4415260851383209,0.2804871364306555,1.0,0.313590844062947,0.1538461538461538,1.166197588311964,0.5520870513607126,-0.0
CENPT,1.078992247581482,0.3231725692749023,0.2805911807341135,1.0,0.0824034334763948,0.0,0.3231725658812875,0.551925983409944,-0.0
RAD51C,1.078992247581482,0.3777950704097748,0.2805911808266554,1.0,0.0824034334763948,0.0,0.3777950770909948,0.5519259832667092,-0.0
CIART,1.078992247581482,0.3326326012611389,0.280591180845164,1.0,0.0824034334763948,0.0,0.3326326156244086,0.5519259832380619,-0.0
RBM12B,1.078992247581482,0.3421152532100677,0.2805911808636724,1.0,0.0824034334763948,0.0,0.3421152446083978,0.5519259832094148,-0.0
NECAP1,1.077976107597351,0.3432552218437195,0.2810443993526428,1.0,0.0822603719599427,0.0,0.3432552311944381,0.5512250648968497,-0.0
RICTOR,1.077976107597351,0.3569376766681671,0.2810443996122134,1.0,0.0822603719599427,0.0,0.3569376640822436,0.5512250644957385,-0.0
RPIA,1.077976107597351,0.3388049900531769,0.2810443996863763,1.0,0.0822603719599427,0.0,0.3388050030383547,0.5512250643811355,-0.0
SH3GLB2,1.077976107597351,0.3288748860359192,0.28104439977908,1.0,0.0822603719599427,0.0,0.3288748998446502,0.5512250642378815,-0.0
POU2F1,1.0769593715667725,0.3466786444187164,0.2814984133882436,1.0,0.0821173104434907,0.0,0.346678647650314,0.5505240486231948,-0.0
RABGGTB,1.0769593715667725,0.331894040107727,0.2814984135182558,1.0,0.0821173104434907,0.0,0.3318940375442875,0.5505240484226126,-0.0
AC005261.1,1.0769593715667725,0.3434290885925293,0.2814984136296945,1.0,0.0821173104434907,0.0,0.3434291011230295,0.5505240482506853,-0.0
ZHX2,1.0769593715667725,0.3390394449234009,0.2814984136482676,1.0,0.0821173104434907,0.0,0.3390394300257469,0.5505240482220309,-0.0
BPGM,1.0769593715667725,0.3610070645809173,0.2814984137039871,1.0,0.0821173104434907,0.0,0.3610070539711774,0.5505240481360671,-0.0
AC090498.1,1.0767829418182373,0.2993115782737732,0.2815772245531625,1.0,0.2125894134477825,0.0769230769230769,0.7283589933980956,0.5504024761311392,-0.0
TFDP2,1.0764411687850952,0.4431602358818054,0.2817300070471381,1.0,0.4203147353361945,0.2307692307692307,1.5247275213021425,0.5501668938699156,-0.0
UIMC1,1.0759419202804563,0.3394275903701782,0.2819532248009655,1.0,0.0819742489270386,0.0,0.3394276020479597,0.5498229338642238,-0.0
ITGA9,1.0759419202804563,0.3668209612369537,0.2819532248567823,1.0,0.0819742489270386,0.0,0.3668209503821555,0.5498229337782488,-0.0
NOTCH2,1.0754176378250122,0.5144456028938293,0.2821877812739143,1.0,0.2816881258941345,0.1538461538461538,1.0495951489246946,0.5494617951181681,-0.0
IRF2BP2,1.075237512588501,0.4561505913734436,0.2822683995299011,1.0,0.2008583690987124,0.0769230769230769,0.7856545956904369,0.5493377392033088,-0.0
TIFA,1.0749238729476929,0.3387747406959533,0.2824088350555315,1.0,0.0818311874105865,0.0,0.3387747548845715,0.5491217206661113,-0.0
STIP1,1.074921488761902,0.343471497297287,0.2824098836958845,1.0,0.2098712446351931,0.0769230769230769,0.8042077157681704,0.5491201080470401,-0.0
ARNTL,1.0739049911499023,0.3676165342330932,0.282865246087863,1.0,0.0816881258941344,0.0,0.3676165300958527,0.5484204083558273,-0.0
ABT1,1.0739049911499023,0.3324375748634338,0.2828652461065339,1.0,0.0816881258941344,0.0,0.3324375662164767,0.5484204083271611,-0.0
