ONTOLOGY,ID,Description,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,GeneRatio
BP,GO:0030433,ubiquitin-dependent ERAD pathway,85/18723,0.0014614242542215,0.0434128969636404,0.0378552618998566,STUB1/CALR/WFS1/RNF103/JKAMP/SVIP/NPLOC4/STT3B/UBQLN1,9,9/593
BP,GO:0007034,vacuolar transport,157/18723,0.0014958139583779,0.0441459379274523,0.0384944603779417,NDFIP1/PINK1/SLC46A3/RHOB/NDFIP2/CHMP1B/VPS13C/TMEM106B/VAMP7/BECN1/AP3D1/CHMP4B/LAMP2,13,13/593
BP,GO:0090277,positive regulation of peptide hormone secretion,103/18723,0.0015828315709995,0.0461151890396994,0.04021161177337,HLA-DRB1/GJA1/CAMK2N1/TM7SF3/IRS2/MPC2/KIF5B/ACSL4/BAD/HIF1A,10,10/593
BP,GO:1905037,autophagosome organization,103/18723,0.0015828315709995,0.0461151890396994,0.04021161177337,PINK1/RAB1B/EMC6/NUPR1/ATG101/ATP2A2/IFT20/BECN1/CHMP4B/UBQLN1,10,10/593
BP,GO:0042752,regulation of circadian rhythm,121/18723,0.0016107756507778,0.0466304161323892,0.0406608804906364,HNRNPD/KLF10/ARNTL/PPP1CA/GNA11/FBXL3/GNAQ/PPP1CC/BHLHE40/SIAH2/GSK3B,11,11/593
BP,GO:0048167,regulation of synaptic plasticity,198/18723,0.001648359586883,0.0471819952979434,0.0411418475587417,SQSTM1/PAIP2/RASGRF2/STAR/GRID2/SNCA/NCDN/PTN/NSG1/RAB8A/EIF4EBP2/MAPK1/NPTN/CALB2/GSK3B,15,15/593
BP,GO:0043434,response to peptide hormone,414/18723,0.0016505912546475,0.0471819952979434,0.0411418475587417,FABP3/GJA1/NR4A1/CDK4/EGR1/PDK2/STAR/SRSF6/JUND/PIK3CA/EPM2AIP1/TSC1/VPS13C/IRS2/CPEB2/RAB8A/EIF4EBP2/SESN3/BTG2/RHOQ/JAK3/FOXO1/GOT1/SPARC/GSK3B,25,25/593
BP,GO:0070482,response to oxygen levels,347/18723,0.0016789392381256,0.0475021916427626,0.0414210529870885,DDAH1/CDK4/STUB1/PINK1/EGR1/GNB1/PDK1/VEGFB/PTN/ACAA2/TSC1/HYOU1/CPEB2/P4HB/TBL2/FOXO1/CPEB4/FOXO3/BECN1/BAD/HIF1A/UBQLN1,22,22/593
BP,GO:0000423,mitophagy,28/18723,0.0016826958975764,0.0475021916427626,0.0414210529870885,RETREG1/SQSTM1/PINK1/VPS13C/BECN1,5,5/593
BP,GO:1902116,negative regulation of organelle assembly,41/18723,0.0017222357124155,0.0483182797094371,0.0421326670386267,PINK1/NUPR1/RBM14/BECN1/CHMP4B/YAP1,6,6/593
BP,GO:0016241,regulation of macroautophagy,141/18723,0.0017778416809856,0.0495723339882205,0.04322617971528,GAPDH/PINK1/NUPR1/ATP6V1E1/PIK3CA/TSC1/VPS13C/SESN3/BECN1/CHMP4B/HIF1A/UBQLN1,12,12/593
CC,GO:0070469,respirasome,100/19550,4.04422268658111e-12,1.18776738260091e-9,1.02026610565662e-9,NDUFS7/NDUFA2/COX6A1/COX6C/NDUFA4/NDUFC1/COX7A2/NDUFB4/NDUFB1/SDHD/SDHB/C15orf48/COX7B/NDUFA5/NDUFC2/NDUFB8/NDUFA10/CYCS/COA6/NDUFB3/UQCRB,21,21/615
CC,GO:0098803,respiratory chain complex,90/19550,4.32702143024013e-12,1.18776738260091e-9,1.02026610565662e-9,NDUFS7/NDUFA2/COX6A1/COX6C/NDUFA4/NDUFC1/COX7A2/NDUFB4/NDUFB1/SDHD/SDHB/C15orf48/COX7B/NDUFA5/NDUFC2/NDUFB8/NDUFA10/COA6/NDUFB3/UQCRB,20,20/615
CC,GO:0005746,mitochondrial respirasome,89/19550,3.15855988376562e-11,5.78016458729108e-9,4.965034483954371e-9,NDUFS7/NDUFA2/COX6A1/COX6C/NDUFA4/NDUFC1/COX7A2/NDUFB4/NDUFB1/SDHD/SDHB/C15orf48/COX7B/NDUFA5/NDUFC2/NDUFB8/NDUFA10/NDUFB3/UQCRB,19,19/615
