cell_type,avg_expr,pct_expr,gene
SSCs,0.003459806585072697,0.0034425100816366677,CDH5
STs,0.004999044618642231,0.006285805219605347,CDH5
Spermatids,0.07927267763460372,0.08138113668771645,CDH5
ECs,1.019080943924193,0.5537130497476568,PECAM1
LCs,0.017114420079393417,0.012920592193808884,PECAM1
Lym,0.29727579446116903,0.2645739910313901,PECAM1
Myeloid,0.17132615234770202,0.11300566063785725,PECAM1
SPCs,0.004267739524786922,0.004572544184134813,PECAM1
SPGs,0.005732729314178637,0.005345108064141297,PECAM1
SSCs,0.01600988447414078,0.013081538310219337,PECAM1
STs,0.005456512221233015,0.00612667091024825,PECAM1
Spermatids,0.0054438225720073955,0.005737760575813132,PECAM1
ECs,2.1086928400962406,0.8547224224945926,VWF
LCs,0.030436497672676987,0.024226110363391656,VWF
Lym,0.057933781646826873,0.04932735426008968,VWF
Myeloid,0.027157644828544637,0.022918680104928896,VWF
SPCs,0.011504989812526496,0.01207357172215372,VWF
SPGs,0.03661407124793948,0.03927492447129909,VWF
SSCs,0.14639223753391753,0.12579915412609421,VWF
