Gene,CTRL,Disease
AC004908.3,0.008070347737705756,0.002566061640998104
AC004911.1,0.0,0.00015423101612808108
AC004917.1,0.0013294170274175154,0.0027463877500135733
AC004918.1,0.0027470939040477047,0.0
AC004918.3,0.0,0.00018427328019860942
AC004920.1,0.0,0.0
AC004921.1,0.004536271990240836,0.005039171290696496
AC004922.1,0.0,0.0002798797942842386
AC004923.1,0.0007089983906787306,0.0008941984950239767
AC004923.4,0.06782774674105621,0.05609405483126562
AC004925.1,0.0010572176069165043,0.0003321378621519588
AC004930.1,0.0,0.00032999100590615183
AC004936.1,0.04700581951431579,0.003500151598252369
AC004941.1,0.0015777068033094963,0.0024886769895657826
AC004943.1,0.02213890607079318,0.022789111974467674
AC004943.2,0.36597119801452893,0.43323498814114636
AC004943.3,0.0,0.00018705580528917274
AC004944.1,0.03394798905121146,0.05496744252746996
AC004946.1,0.010966874983769338,0.0004941657771936944
AC004947.1,0.0,0.00018424859731708927
